date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-02 00:00:00+00:00,10.98,11.02,10.34,10.42,43479727,10.98,11.02,10.34,10.42,43479727,0.0,1.0
2018-01-03 00:00:00+00:00,11.55,12.14,11.36,11.61,150097565,11.55,12.14,11.36,11.61,150097565,0.0,1.0
2018-01-04 00:00:00+00:00,12.12,12.43,11.97,12.1,108512405,12.12,12.43,11.97,12.1,108512405,0.0,1.0
2018-01-05 00:00:00+00:00,11.88,12.22,11.66,12.19,63187983,11.88,12.22,11.66,12.19,63187983,0.0,1.0
2018-01-08 00:00:00+00:00,12.28,12.3,11.85,12.01,62896703,12.28,12.3,11.85,12.01,62896703,0.0,1.0
2018-01-09 00:00:00+00:00,11.82,12.02,11.71,12.0,62071489,11.82,12.02,11.71,12.0,62071489,0.0,1.0
2018-01-10 00:00:00+00:00,11.96,12.15,11.56,11.63,51025659,11.96,12.15,11.56,11.63,51025659,0.0,1.0
2018-01-11 00:00:00+00:00,12.14,12.19,11.9,12.07,33904455,12.14,12.19,11.9,12.07,33904455,0.0,1.0
2018-01-12 00:00:00+00:00,12.02,12.07,11.8,11.82,46862584,12.02,12.07,11.8,11.82,46862584,0.0,1.0
2018-01-16 00:00:00+00:00,11.91,12.2,11.8,12.05,41596214,11.91,12.2,11.8,12.05,41596214,0.0,1.0
2018-01-17 00:00:00+00:00,12.18,12.19,11.82,11.9,38563690,12.18,12.19,11.82,11.9,38563690,0.0,1.0
2018-01-18 00:00:00+00:00,12.47,12.68,12.15,12.18,61621147,12.47,12.68,12.15,12.18,61621147,0.0,1.0
2018-01-19 00:00:00+00:00,12.59,12.88,12.54,12.56,45638452,12.59,12.88,12.54,12.56,45638452,0.0,1.0
2018-01-22 00:00:00+00:00,12.65,12.74,12.37,12.61,34419605,12.65,12.74,12.37,12.61,34419605,0.0,1.0
2018-01-23 00:00:00+00:00,12.94,13.0,12.76,12.82,46005571,12.94,13.0,12.76,12.82,46005571,0.0,1.0
2018-01-24 00:00:00+00:00,12.71,13.05,12.6,13.02,41540864,12.71,13.05,12.6,13.02,41540864,0.0,1.0
2018-01-25 00:00:00+00:00,12.41,12.94,12.32,12.78,41679690,12.41,12.94,12.32,12.78,41679690,0.0,1.0
2018-01-26 00:00:00+00:00,12.95,12.95,12.62,12.7,43419449,12.95,12.95,12.62,12.7,43419449,0.0,1.0
2018-01-29 00:00:00+00:00,13.32,13.47,13.05,13.13,65821254,13.32,13.47,13.05,13.13,65821254,0.0,1.0
2018-01-30 00:00:00+00:00,12.87,13.27,12.69,13.12,65116734,12.87,13.27,12.69,13.12,65116734,0.0,1.0
2018-01-31 00:00:00+00:00,13.74,13.85,13.15,13.24,139842965,13.74,13.85,13.15,13.24,139842965,0.0,1.0
2018-02-01 00:00:00+00:00,13.25,13.84,13.21,13.62,66528817,13.25,13.84,13.21,13.62,66528817,0.0,1.0
2018-02-02 00:00:00+00:00,12.45,13.06,12.43,13.05,76774701,12.45,13.06,12.43,13.05,76774701,0.0,1.0
2018-02-05 00:00:00+00:00,11.57,12.18,10.93,12.05,110561931,11.57,12.18,10.93,12.05,110561931,0.0,1.0
2018-02-06 00:00:00+00:00,11.65,11.74,11.0,11.04,85817061,11.65,11.74,11.0,11.04,85817061,0.0,1.0
2018-02-07 00:00:00+00:00,11.6,11.9,11.53,11.7,55325484,11.6,11.9,11.53,11.7,55325484,0.0,1.0
2018-02-08 00:00:00+00:00,11.22,11.85,11.21,11.72,54139669,11.22,11.85,11.21,11.72,54139669,0.0,1.0
2018-02-09 00:00:00+00:00,11.31,11.57,10.63,11.54,83500016,11.31,11.57,10.63,11.54,83500016,0.0,1.0
2018-02-12 00:00:00+00:00,11.68,11.8,11.43,11.47,62695580,11.68,11.8,11.43,11.47,62695580,0.0,1.0
2018-02-13 00:00:00+00:00,11.78,11.82,11.53,11.6,32126468,11.78,11.82,11.53,11.6,32126468,0.0,1.0
2018-02-14 00:00:00+00:00,12.2,12.31,11.63,11.72,51529646,12.2,12.31,11.63,11.72,51529646,0.0,1.0
2018-02-15 00:00:00+00:00,12.19,12.63,12.07,12.4,57497914,12.19,12.63,12.07,12.4,57497914,0.0,1.0
2018-02-16 00:00:00+00:00,11.82,12.23,11.82,12.11,45980623,11.82,12.23,11.82,12.11,45980623,0.0,1.0
2018-02-20 00:00:00+00:00,12.02,12.19,11.71,11.72,46430056,12.02,12.19,11.71,11.72,46430056,0.0,1.0
2018-02-21 00:00:00+00:00,11.72,12.12,11.72,12.12,39840153,11.72,12.12,11.72,12.12,39840153,0.0,1.0
2018-02-22 00:00:00+00:00,11.84,12.0,11.63,11.82,37579666,11.84,12.0,11.63,11.82,37579666,0.0,1.0
2018-02-23 00:00:00+00:00,12.07,12.16,11.94,11.95,32964802,12.07,12.16,11.94,11.95,32964802,0.0,1.0
2018-02-26 00:00:00+00:00,12.42,12.43,12.05,12.14,41830973,12.42,12.43,12.05,12.14,41830973,0.0,1.0
2018-02-27 00:00:00+00:00,12.53,12.88,12.39,12.43,55068108,12.53,12.88,12.39,12.43,55068108,0.0,1.0
2018-02-28 00:00:00+00:00,12.11,12.73,12.1,12.66,43024362,12.11,12.73,12.1,12.66,43024362,0.0,1.0
2018-03-01 00:00:00+00:00,11.9,12.27,11.66,12.26,63207377,11.9,12.27,11.66,12.26,63207377,0.0,1.0
2018-03-02 00:00:00+00:00,11.81,11.93,11.43,11.67,58123518,11.81,11.93,11.43,11.67,58123518,0.0,1.0
2018-03-05 00:00:00+00:00,11.91,12.06,11.61,11.69,43734836,11.91,12.06,11.61,11.69,43734836,0.0,1.0
2018-03-06 00:00:00+00:00,11.76,12.05,11.71,12.01,46751179,11.76,12.05,11.71,12.01,46751179,0.0,1.0
2018-03-07 00:00:00+00:00,12.24,12.82,11.55,11.58,127603194,12.24,12.82,11.55,11.58,127603194,0.0,1.0
2018-03-08 00:00:00+00:00,11.97,12.59,11.74,12.4,75412079,11.97,12.59,11.74,12.4,75412079,0.0,1.0
2018-03-09 00:00:00+00:00,11.7,12.04,11.58,12.03,88671179,11.7,12.04,11.58,12.03,88671179,0.0,1.0
2018-03-12 00:00:00+00:00,11.52,11.82,11.48,11.76,83266830,11.52,11.82,11.48,11.76,83266830,0.0,1.0
2018-03-13 00:00:00+00:00,11.64,12.04,11.1,11.5,173734863,11.64,12.04,11.1,11.5,173734863,0.0,1.0
2018-03-14 00:00:00+00:00,11.36,11.72,11.26,11.7,79249146,11.36,11.72,11.26,11.7,79249146,0.0,1.0
2018-03-15 00:00:00+00:00,11.46,11.55,11.19,11.43,62979274,11.46,11.55,11.19,11.43,62979274,0.0,1.0
2018-03-16 00:00:00+00:00,11.47,11.55,11.32,11.49,36335291,11.47,11.55,11.32,11.49,36335291,0.0,1.0
2018-03-19 00:00:00+00:00,11.43,11.74,11.35,11.41,53034019,11.43,11.74,11.35,11.41,53034019,0.0,1.0
2018-03-20 00:00:00+00:00,11.11,11.52,11.0,11.41,64277926,11.11,11.52,11.0,11.41,64277926,0.0,1.0
2018-03-21 00:00:00+00:00,11.26,11.34,11.11,11.16,44453537,11.26,11.34,11.11,11.16,44453537,0.0,1.0
2018-03-22 00:00:00+00:00,10.91,11.26,10.85,11.1,59569610,10.91,11.26,10.85,11.1,59569610,0.0,1.0
2018-03-23 00:00:00+00:00,10.63,10.97,10.57,10.91,54661263,10.63,10.97,10.57,10.91,54661263,0.0,1.0
2018-03-26 00:00:00+00:00,10.44,10.8,10.18,10.71,75239343,10.44,10.8,10.18,10.71,75239343,0.0,1.0
2018-03-27 00:00:00+00:00,10.0,10.59,9.9,10.51,68157322,10.0,10.59,9.9,10.51,68157322,0.0,1.0
2018-03-28 00:00:00+00:00,9.81,10.17,9.79,9.99,64832148,9.81,10.17,9.79,9.99,64832148,0.0,1.0
2018-03-29 00:00:00+00:00,10.05,10.08,9.81,9.94,48681415,10.05,10.08,9.81,9.94,48681415,0.0,1.0
2018-04-02 00:00:00+00:00,9.53,10.14,9.51,9.99,64824596,9.53,10.14,9.51,9.99,64824596,0.0,1.0
2018-04-03 00:00:00+00:00,9.55,9.77,9.3,9.63,54891576,9.55,9.77,9.3,9.63,54891576,0.0,1.0
2018-04-04 00:00:00+00:00,9.77,9.81,9.04,9.08,67356888,9.77,9.81,9.04,9.08,67356888,0.0,1.0
2018-04-05 00:00:00+00:00,10.02,10.2,9.91,10.05,65758791,10.02,10.2,9.91,10.05,65758791,0.0,1.0
2018-04-06 00:00:00+00:00,9.61,10.1,9.5,9.83,51087146,9.61,10.1,9.5,9.83,51087146,0.0,1.0
2018-04-09 00:00:00+00:00,9.53,9.84,9.52,9.75,38382608,9.53,9.84,9.52,9.75,38382608,0.0,1.0
2018-04-10 00:00:00+00:00,9.98,10.04,9.71,9.75,43036502,9.98,10.04,9.71,9.75,43036502,0.0,1.0
2018-04-11 00:00:00+00:00,9.82,10.03,9.79,9.87,29169324,9.82,10.03,9.79,9.87,29169324,0.0,1.0
2018-04-12 00:00:00+00:00,10.08,10.1,9.82,9.98,47784419,10.08,10.1,9.82,9.98,47784419,0.0,1.0
2018-04-13 00:00:00+00:00,9.93,10.22,9.88,10.2,38935658,9.93,10.22,9.88,10.2,38935658,0.0,1.0
2018-04-16 00:00:00+00:00,10.09,10.17,9.9,10.0,28875069,10.09,10.17,9.9,10.0,28875069,0.0,1.0
2018-04-17 00:00:00+00:00,10.52,10.53,10.2,10.28,45360314,10.52,10.53,10.2,10.28,45360314,0.0,1.0
2018-04-18 00:00:00+00:00,10.36,10.65,10.33,10.51,42449590,10.36,10.65,10.33,10.51,42449590,0.0,1.0
2018-04-19 00:00:00+00:00,10.11,10.33,9.99,10.18,57841640,10.11,10.33,9.99,10.18,57841640,0.0,1.0
2018-04-20 00:00:00+00:00,9.99,10.14,9.95,10.05,39011902,9.99,10.14,9.95,10.05,39011902,0.0,1.0
2018-04-23 00:00:00+00:00,10.04,10.19,9.97,10.09,42971272,10.04,10.19,9.97,10.09,42971272,0.0,1.0
2018-04-24 00:00:00+00:00,10.09,10.35,9.95,10.19,44992223,10.09,10.35,9.95,10.19,44992223,0.0,1.0
2018-04-25 00:00:00+00:00,9.71,10.09,9.56,10.06,90577981,9.71,10.09,9.56,10.06,90577981,0.0,1.0
2018-04-26 00:00:00+00:00,11.04,11.19,10.61,10.87,145284090,11.04,11.19,10.61,10.87,145284090,0.0,1.0
2018-04-27 00:00:00+00:00,11.11,11.36,11.02,11.2,74347782,11.11,11.36,11.02,11.2,74347782,0.0,1.0
2018-04-30 00:00:00+00:00,10.88,11.14,10.87,11.06,50608764,10.88,11.14,10.87,11.06,50608764,0.0,1.0
