date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-02 00:00:00+00:00,177.73,177.84,173.98,174.14,818602,163.9814759754,164.0829667893,160.5215618646,160.6691848667,818602,0.0,1.0
2018-01-03 00:00:00+00:00,179.08,179.58,177.68,177.73,1054850,165.2270450553,165.6883669367,163.9353437873,163.9814759754,1054850,0.0,1.0
2018-01-04 00:00:00+00:00,180.75,181.77,179.4,180.49,915869,166.7678601393,167.7089567774,165.5222910594,166.5279727609,915869,0.0,1.0
2018-01-05 00:00:00+00:00,182.87,183.45,180.75,180.84,516070,168.7238649166,169.258998299,166.7678601393,166.8508980779,516070,0.0,1.0
2018-01-08 00:00:00+00:00,183.83,184.46,182.81,183.19,763915,169.6096029289,170.1908684995,168.6685062908,169.0191109207,763915,0.0,1.0
2018-01-09 00:00:00+00:00,182.84,184.17,181.24,184.07,854396,168.6961856037,169.9233018083,167.2199555831,169.831037432,854396,0.0,1.0
2018-01-10 00:00:00+00:00,180.71,181.55,179.33,181.39,669201,166.7309543888,167.5059751496,165.457705996,167.3583521475,669201,0.0,1.0
2018-01-11 00:00:00+00:00,178.55,180.23,177.91,180.08,831917,164.738043861,166.2880853826,164.1475518527,166.1496888182,831917,0.0,1.0
2018-01-12 00:00:00+00:00,180.87,181.47,179.94,181.11,710316,166.8785773908,167.4321636485,166.0205186913,167.1000118939,710316,0.0,1.0
2018-01-16 00:00:00+00:00,186.38,188.5,185.26,187.7,1518915,171.9623445243,173.9183493015,170.9289835098,173.1802342912,1518915,0.0,1.0
2018-01-17 00:00:00+00:00,199.18,201.2,194.76,194.99,2653357,183.772184689,185.63592509,179.6940992571,179.9063073226,2653357,0.0,1.0
2018-01-18 00:00:00+00:00,203.36,205.58,201.81,202.18,3618702,187.6288356178,189.6771047714,186.1987377854,186.5401159776,3618702,0.0,1.0
2018-01-19 00:00:00+00:00,205.52,206.03,203.17,205.22,1123103,189.6217461456,190.0922944647,187.4535333029,189.3449530168,1123103,0.0,1.0
