date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-02 00:00:00+00:00,42.05,42.21,41.71,42.0,1911145,42.05,42.21,41.71,42.0,1911145,0.0,1.0
2018-01-03 00:00:00+00:00,42.93,42.95,42.05,42.16,2128022,42.93,42.95,42.05,42.16,2128022,0.0,1.0
2018-01-04 00:00:00+00:00,43.58,43.93,43.08,43.19,3115664,43.58,43.93,43.08,43.19,3115664,0.0,1.0
2018-01-05 00:00:00+00:00,43.99,44.2,43.67,43.78,1628381,43.99,44.2,43.67,43.78,1628381,0.0,1.0
2018-01-08 00:00:00+00:00,44.92,45.05,43.92,43.95,1811264,44.92,45.05,43.92,43.95,1811264,0.0,1.0
2018-01-09 00:00:00+00:00,45.07,45.27,44.62,45.0,1515496,45.07,45.27,44.62,45.0,1515496,0.0,1.0
2018-01-10 00:00:00+00:00,44.84,45.17,44.57,44.89,1066683,44.84,45.17,44.57,44.89,1066683,0.0,1.0
2018-01-11 00:00:00+00:00,44.87,45.14,44.77,44.9,1168560,44.87,45.14,44.77,44.9,1168560,0.0,1.0
2018-01-12 00:00:00+00:00,45.07,45.16,44.64,44.98,1201124,45.07,45.16,44.64,44.98,1201124,0.0,1.0
2018-01-16 00:00:00+00:00,44.28,45.41,44.2,45.22,2198367,44.28,45.41,44.2,45.22,2198367,0.0,1.0
2018-01-17 00:00:00+00:00,44.86,45.06,44.51,44.66,2131986,44.86,45.06,44.51,44.66,2131986,0.0,1.0
2018-01-18 00:00:00+00:00,44.94,45.08,44.72,44.91,1586519,44.94,45.08,44.72,44.91,1586519,0.0,1.0
2018-01-19 00:00:00+00:00,45.6,45.74,44.84,45.0,2108273,45.6,45.74,44.84,45.0,2108273,0.0,1.0
2018-01-22 00:00:00+00:00,45.69,45.86,45.25,45.52,1435524,45.69,45.86,45.25,45.52,1435524,0.0,1.0
2018-01-23 00:00:00+00:00,45.75,45.94,45.5,45.6,1473872,45.75,45.94,45.5,45.6,1473872,0.0,1.0
2018-01-24 00:00:00+00:00,45.38,46.0,45.36,45.89,1500683,45.38,46.0,45.36,45.89,1500683,0.0,1.0
2018-01-25 00:00:00+00:00,44.86,45.95,44.77,45.58,1521410,44.86,45.95,44.77,45.58,1521410,0.0,1.0
2018-01-26 00:00:00+00:00,45.8,45.81,44.67,45.17,1456607,45.8,45.81,44.67,45.17,1456607,0.0,1.0
2018-01-29 00:00:00+00:00,44.56,45.75,44.48,45.56,1931968,44.56,45.75,44.48,45.56,1931968,0.0,1.0
2018-01-30 00:00:00+00:00,43.98,44.71,43.82,44.36,2106804,43.98,44.71,43.82,44.36,2106804,0.0,1.0
2018-01-31 00:00:00+00:00,44.86,45.03,43.92,44.06,3479071,44.86,45.03,43.92,44.06,3479071,0.0,1.0
2018-02-01 00:00:00+00:00,42.23,45.25,41.9,44.4,7197710,42.23,45.25,41.9,44.4,7197710,0.0,1.0
2018-02-02 00:00:00+00:00,41.1,42.15,41.08,42.04,3641304,41.1,42.15,41.08,42.04,3641304,0.0,1.0
2018-02-05 00:00:00+00:00,39.29,41.41,39.27,40.93,2777177,39.29,41.41,39.27,40.93,2777177,0.0,1.0
2018-02-06 00:00:00+00:00,39.58,39.66,37.78,38.73,3801636,39.58,39.66,37.78,38.73,3801636,0.0,1.0
2018-02-07 00:00:00+00:00,38.57,39.72,37.61,37.91,2701545,38.57,39.72,37.61,37.91,2701545,0.0,1.0
2018-02-08 00:00:00+00:00,36.82,38.5,36.79,38.48,2997886,36.82,38.5,36.79,38.48,2997886,0.0,1.0
2018-02-09 00:00:00+00:00,37.68,38.02,36.23,37.33,2942433,37.68,38.02,36.23,37.33,2942433,0.0,1.0
2018-02-12 00:00:00+00:00,38.6,38.84,37.93,37.95,2402498,38.6,38.84,37.93,37.95,2402498,0.0,1.0
2018-02-13 00:00:00+00:00,37.9,39.13,37.54,39.13,2304832,37.9,39.13,37.54,39.13,2304832,0.0,1.0
2018-02-14 00:00:00+00:00,38.63,38.72,37.42,37.55,2681650,38.63,38.72,37.42,37.55,2681650,0.0,1.0
2018-02-15 00:00:00+00:00,39.07,39.21,38.3,38.78,2460301,39.07,39.21,38.3,38.78,2460301,0.0,1.0
2018-02-16 00:00:00+00:00,39.16,39.46,38.81,39.11,1780186,39.16,39.46,38.81,39.11,1780186,0.0,1.0
2018-02-20 00:00:00+00:00,40.17,40.31,38.9,38.91,3094448,40.17,40.31,38.9,38.91,3094448,0.0,1.0
2018-02-21 00:00:00+00:00,39.26,40.34,39.26,40.18,2144707,39.26,40.34,39.26,40.18,2144707,0.0,1.0
2018-02-22 00:00:00+00:00,38.8,39.75,38.61,39.42,2609489,38.8,39.75,38.61,39.42,2609489,0.0,1.0
2018-02-23 00:00:00+00:00,39.74,39.76,39.04,39.04,1533685,39.74,39.76,39.04,39.04,1533685,0.0,1.0
2018-02-26 00:00:00+00:00,39.89,40.11,39.65,39.83,1653578,39.89,40.11,39.65,39.83,1653578,0.0,1.0
2018-02-27 00:00:00+00:00,39.39,40.1,39.39,40.01,1641147,39.39,40.1,39.39,40.01,1641147,0.0,1.0
2018-02-28 00:00:00+00:00,38.77,39.94,38.76,39.64,2604510,38.77,39.94,38.76,39.64,2604510,0.0,1.0
2018-03-01 00:00:00+00:00,38.23,39.02,37.91,38.84,3311587,38.23,39.02,37.91,38.84,3311587,0.0,1.0
2018-03-02 00:00:00+00:00,39.29,39.37,37.8,37.89,2336970,39.29,39.37,37.8,37.89,2336970,0.0,1.0
2018-03-05 00:00:00+00:00,39.5,39.82,38.73,38.95,2222596,39.5,39.82,38.73,38.95,2222596,0.0,1.0
2018-03-06 00:00:00+00:00,38.98,39.57,38.86,39.51,2507614,38.98,39.57,38.86,39.51,2507614,0.0,1.0
2018-03-07 00:00:00+00:00,39.37,39.63,38.74,38.8,1940945,39.37,39.63,38.74,38.8,1940945,0.0,1.0
2018-03-08 00:00:00+00:00,39.3,39.81,39.06,39.38,3404621,39.3,39.81,39.06,39.38,3404621,0.0,1.0
2018-03-09 00:00:00+00:00,39.68,39.8,38.76,39.65,2503583,39.68,39.8,38.76,39.65,2503583,0.0,1.0
2018-03-12 00:00:00+00:00,39.7,40.05,39.61,39.83,3465065,39.7,40.05,39.61,39.83,3465065,0.0,1.0
2018-03-13 00:00:00+00:00,39.17,40.3,39.03,39.96,2272472,39.17,40.3,39.03,39.96,2272472,0.0,1.0
2018-03-14 00:00:00+00:00,38.83,39.54,38.67,39.25,2011477,38.83,39.54,38.67,39.25,2011477,0.0,1.0
2018-03-15 00:00:00+00:00,39.08,39.39,38.75,38.75,2001055,39.08,39.39,38.75,38.75,2001055,0.0,1.0
2018-03-16 00:00:00+00:00,38.59,39.33,38.41,39.21,6161594,38.59,39.33,38.41,39.21,6161594,0.0,1.0
2018-03-19 00:00:00+00:00,38.23,38.79,37.75,38.3,3093444,38.23,38.79,37.75,38.3,3093444,0.0,1.0
2018-03-20 00:00:00+00:00,37.96,38.5,37.74,38.23,2946839,37.96,38.5,37.74,38.23,2946839,0.0,1.0
2018-03-21 00:00:00+00:00,38.35,38.75,37.7,37.96,2992866,38.35,38.75,37.7,37.96,2992866,0.0,1.0
2018-03-22 00:00:00+00:00,37.39,38.28,37.38,37.86,2092722,37.39,38.28,37.38,37.86,2092722,0.0,1.0
2018-03-23 00:00:00+00:00,36.38,37.5,36.38,37.29,2283131,36.38,37.5,36.38,37.29,2283131,0.0,1.0
2018-03-26 00:00:00+00:00,37.46,38.0,36.56,36.97,2560056,37.46,38.0,36.56,36.97,2560056,0.0,1.0
2018-03-27 00:00:00+00:00,36.4,37.66,36.22,37.6,2009573,36.4,37.66,36.22,37.6,2009573,0.0,1.0
2018-03-28 00:00:00+00:00,36.14,36.84,36.02,36.51,2183691,36.14,36.84,36.02,36.51,2183691,0.0,1.0
2018-03-29 00:00:00+00:00,36.77,37.51,36.37,36.4,3697021,36.77,37.51,36.37,36.4,3697021,0.0,1.0
2018-04-02 00:00:00+00:00,35.85,37.05,35.49,36.69,2274797,35.85,37.05,35.49,36.69,2274797,0.0,1.0
2018-04-03 00:00:00+00:00,36.31,36.47,35.67,36.01,2787742,36.31,36.47,35.67,36.01,2787742,0.0,1.0
2018-04-04 00:00:00+00:00,36.68,36.78,35.59,35.75,2475685,36.68,36.78,35.59,35.75,2475685,0.0,1.0
2018-04-05 00:00:00+00:00,36.98,37.52,36.8,37.41,2762699,36.98,37.52,36.8,37.41,2762699,0.0,1.0
2018-04-06 00:00:00+00:00,35.9,36.8,35.66,36.71,3395911,35.9,36.8,35.66,36.71,3395911,0.0,1.0
2018-04-09 00:00:00+00:00,36.25,37.13,36.03,36.16,1971249,36.25,37.13,36.03,36.16,1971249,0.0,1.0
2018-04-10 00:00:00+00:00,37.01,37.28,36.55,36.82,2356932,37.01,37.28,36.55,36.82,2356932,0.0,1.0
2018-04-11 00:00:00+00:00,36.7,37.08,36.25,36.69,1684330,36.7,37.08,36.25,36.69,1684330,0.0,1.0
2018-04-12 00:00:00+00:00,37.47,37.68,36.78,36.85,2235609,37.47,37.68,36.78,36.85,2235609,0.0,1.0
2018-04-13 00:00:00+00:00,37.3,37.78,37.16,37.68,1212168,37.3,37.78,37.16,37.68,1212168,0.0,1.0
2018-04-16 00:00:00+00:00,37.54,37.59,37.23,37.58,2106830,37.54,37.59,37.23,37.58,2106830,0.0,1.0
2018-04-17 00:00:00+00:00,38.1,38.22,36.99,37.86,2467865,38.1,38.22,36.99,37.86,2467865,0.0,1.0
2018-04-18 00:00:00+00:00,38.17,38.33,37.52,38.09,2632112,38.17,38.33,37.52,38.09,2632112,0.0,1.0
2018-04-19 00:00:00+00:00,37.38,37.89,37.22,37.88,2413033,37.38,37.89,37.22,37.88,2413033,0.0,1.0
