date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-02 00:00:00+00:00,44.35,44.46,43.56,43.76,1281162,8.87,8.892,8.712,8.752,6405810,0.0,1.0
2018-01-03 00:00:00+00:00,45.03,45.14,44.17,44.3,1512020,9.006,9.028,8.834,8.86,7560100,0.0,1.0
2018-01-04 00:00:00+00:00,44.0,45.23,43.96,45.11,2529707,8.8,9.046,8.792,9.022,12648535,0.0,1.0
2018-01-05 00:00:00+00:00,44.1,44.54,43.92,44.32,1426163,8.82,8.908,8.784,8.864,7130815,0.0,1.0
2018-01-08 00:00:00+00:00,45.0,45.04,44.01,44.29,1110846,9.0,9.008,8.802,8.858,5554230,0.0,1.0
2018-01-09 00:00:00+00:00,44.32,44.84,43.97,44.69,1381022,8.864,8.968,8.794,8.938,6905110,0.0,1.0
2018-01-10 00:00:00+00:00,44.1,44.22,43.48,44.06,1178592,8.82,8.844,8.696,8.812,5892960,0.0,1.0
2018-01-11 00:00:00+00:00,44.26,44.61,43.9,44.09,1200373,8.852,8.922,8.78,8.818,6001865,0.0,1.0
2018-01-12 00:00:00+00:00,44.94,45.13,44.3,44.44,1456722,8.988,9.026,8.86,8.888,7283610,0.0,1.0
2018-01-16 00:00:00+00:00,44.34,45.79,44.15,45.03,1464924,8.868,9.158,8.83,9.006,7324620,0.0,1.0
2018-01-17 00:00:00+00:00,45.09,45.27,44.64,44.77,1096350,9.018,9.054,8.928,8.954,5481750,0.0,1.0
2018-01-18 00:00:00+00:00,45.71,45.9,44.85,44.88,1917748,9.142,9.18,8.97,8.976,9588740,0.0,1.0
2018-01-19 00:00:00+00:00,46.01,46.43,45.65,45.9,2291875,9.202,9.286,9.13,9.18,11459375,0.0,1.0
2018-01-22 00:00:00+00:00,45.85,45.91,45.21,45.8,1348142,9.17,9.182,9.042,9.16,6740710,0.0,1.0
2018-01-23 00:00:00+00:00,45.75,45.91,43.55,44.29,2694631,9.15,9.182,8.71,8.858,13473155,0.0,1.0
2018-01-24 00:00:00+00:00,45.25,46.23,45.05,45.95,1275773,9.05,9.246,9.01,9.19,6378865,0.0,1.0
2018-01-25 00:00:00+00:00,45.41,45.81,45.12,45.55,680860,9.082,9.162,9.024,9.11,3404300,0.0,1.0
2018-01-26 00:00:00+00:00,45.86,46.04,45.09,45.11,1198571,9.172,9.208,9.018,9.022,5992855,0.0,1.0
2018-01-29 00:00:00+00:00,45.96,46.24,45.69,45.76,1659735,9.192,9.248,9.138,9.152,8298675,0.0,1.0
2018-01-30 00:00:00+00:00,45.74,46.0,45.63,45.65,1220132,9.148,9.2,9.126,9.13,6100660,0.0,1.0
2018-01-31 00:00:00+00:00,46.04,46.4,45.36,45.39,1426773,9.208,9.28,9.072,9.078,7133865,0.0,1.0
2018-02-01 00:00:00+00:00,45.87,46.27,45.47,45.75,1434407,9.174,9.254,9.094,9.15,7172035,0.0,1.0
2018-02-02 00:00:00+00:00,44.94,45.73,44.84,45.71,1475281,8.988,9.146,8.968,9.142,7376405,0.0,1.0
2018-02-05 00:00:00+00:00,43.83,45.7,43.67,44.27,2364366,8.766,9.14,8.734,8.854,11821830,0.0,1.0
2018-02-06 00:00:00+00:00,46.54,47.0,44.6,45.27,6649393,9.308,9.4,8.92,9.054,33246965,0.0,1.0
2018-02-07 00:00:00+00:00,45.51,46.8,45.5,46.68,2502765,9.102,9.36,9.1,9.336,12513825,0.0,1.0
2018-02-08 00:00:00+00:00,44.5,45.85,44.47,45.5,2757778,8.9,9.17,8.894,9.1,13788890,0.0,1.0
2018-02-09 00:00:00+00:00,46.54,46.87,44.54,45.23,4078160,9.308,9.374,8.908,9.046,20390800,0.0,1.0
2018-02-12 00:00:00+00:00,46.48,47.2,46.39,46.87,2661071,9.296,9.44,9.278,9.374,13305355,0.0,1.0
2018-02-13 00:00:00+00:00,48.12,48.16,46.3,46.43,2471958,9.624,9.632,9.26,9.286,12359790,0.0,1.0
2018-02-14 00:00:00+00:00,48.38,48.51,47.68,47.93,1543955,9.676,9.702,9.536,9.586,7719775,0.0,1.0
2018-02-15 00:00:00+00:00,49.28,49.56,48.2,48.5,1688125,9.856,9.912,9.64,9.7,8440625,0.0,1.0
2018-02-16 00:00:00+00:00,48.95,49.58,48.94,49.03,1294453,9.79,9.916,9.788,9.806,6472265,0.0,1.0
2018-02-20 00:00:00+00:00,49.06,49.62,48.42,48.43,1124606,9.812,9.924,9.684,9.686,5623030,0.0,1.0
2018-02-21 00:00:00+00:00,49.11,49.97,49.11,49.4,1591335,9.822,9.994,9.822,9.88,7956675,0.0,1.0
2018-02-22 00:00:00+00:00,49.2,49.825,49.02,49.25,1694033,9.84,9.965,9.804,9.85,8470165,0.0,1.0
2018-02-23 00:00:00+00:00,49.87,49.94,49.08,49.65,1240937,9.974,9.988,9.816,9.93,6204685,0.0,1.0
2018-02-26 00:00:00+00:00,50.32,50.39,49.79,49.99,1103234,10.064,10.078,9.958,9.998,5516170,0.0,1.0
2018-02-27 00:00:00+00:00,49.95,50.87,49.95,50.42,856066,9.99,10.174,9.99,10.084,4280330,0.0,1.0
2018-02-28 00:00:00+00:00,50.47,51.0,49.58,49.82,1692279,10.094,10.2,9.916,9.964,8461395,0.0,1.0
2018-03-01 00:00:00+00:00,49.51,50.92,49.27,50.72,1899883,9.902,10.184,9.854,10.144,9499415,0.0,1.0
2018-03-02 00:00:00+00:00,50.46,50.56,49.25,49.39,1982489,10.092,10.112,9.85,9.878,9912445,0.0,1.0
2018-03-05 00:00:00+00:00,50.65,51.23,49.88,50.23,1568408,10.13,10.246,9.976,10.046,7842040,0.0,1.0
2018-03-06 00:00:00+00:00,51.85,51.93,50.47,50.89,1949850,10.37,10.386,10.094,10.178,9749250,0.0,1.0
2018-03-07 00:00:00+00:00,52.47,52.55,51.21,51.33,1755314,10.494,10.51,10.242,10.266,8776570,0.0,1.0
2018-03-08 00:00:00+00:00,54.09,54.13,52.63,52.85,2544977,10.818,10.826,10.526,10.57,12724885,0.0,1.0
2018-03-09 00:00:00+00:00,54.44,54.68,53.96,54.47,1743415,10.888,10.936,10.792,10.894,8717075,0.0,1.0
2018-03-12 00:00:00+00:00,54.68,54.82,54.14,54.44,1253412,10.936,10.964,10.828,10.888,6267060,0.0,1.0
2018-03-13 00:00:00+00:00,54.25,54.95,54.0,54.69,1229576,10.85,10.99,10.8,10.938,6147880,0.0,1.0
2018-03-14 00:00:00+00:00,54.54,54.63,53.9,54.23,748656,10.908,10.926,10.78,10.846,3743280,0.0,1.0
2018-03-15 00:00:00+00:00,54.18,54.97,54.04,54.62,905259,10.836,10.994,10.808,10.924,4526295,0.0,1.0
2018-03-16 00:00:00+00:00,54.0,54.73,54.0,54.09,2146430,10.8,10.946,10.8,10.818,10732150,0.0,1.0
2018-03-19 00:00:00+00:00,53.35,53.47,52.22,52.68,1363681,10.67,10.694,10.444,10.536,6818405,0.0,1.0
2018-03-20 00:00:00+00:00,53.78,54.14,52.82,53.22,710180,10.756,10.828,10.564,10.644,3550900,0.0,1.0
2018-03-21 00:00:00+00:00,54.57,55.18,53.81,54.13,1521267,10.914,11.036,10.762,10.826,7606335,0.0,1.0
2018-03-22 00:00:00+00:00,53.61,54.64,53.5,53.96,896957,10.722,10.928,10.7,10.792,4484785,0.0,1.0
2018-03-23 00:00:00+00:00,52.95,53.86,52.92,53.58,1168064,10.59,10.772,10.584,10.716,5840320,0.0,1.0
2018-03-26 00:00:00+00:00,54.58,54.6,53.45,53.86,935164,10.916,10.92,10.69,10.772,4675820,0.0,1.0
2018-03-27 00:00:00+00:00,53.33,55.34,52.97,55.12,1315077,10.666,11.068,10.594,11.024,6575385,0.0,1.0
2018-03-28 00:00:00+00:00,52.28,53.6,51.97,53.33,2012857,10.456,10.72,10.394,10.666,10064285,0.0,1.0
2018-03-29 00:00:00+00:00,53.58,53.77,52.45,52.75,1352148,10.716,10.754,10.49,10.55,6760740,0.0,1.0
2018-04-02 00:00:00+00:00,52.43,53.53,52.03,53.11,954436,10.486,10.706,10.406,10.622,4772180,0.0,1.0
2018-04-03 00:00:00+00:00,53.43,53.69,52.73,52.73,1499978,10.686,10.738,10.546,10.546,7499890,0.0,1.0
2018-04-04 00:00:00+00:00,54.31,54.48,52.24,52.42,1240083,10.862,10.896,10.448,10.484,6200415,0.0,1.0
2018-04-05 00:00:00+00:00,54.59,55.24,54.19,54.35,1007104,10.918,11.048,10.838,10.87,5035520,0.0,1.0
2018-04-06 00:00:00+00:00,54.33,54.97,54.01,54.23,1241784,10.866,10.994,10.802,10.846,6208920,0.0,1.0
2018-04-09 00:00:00+00:00,54.47,55.46,54.25,54.29,1233569,10.894,11.092,10.85,10.858,6167845,0.0,1.0
2018-04-10 00:00:00+00:00,56.23,56.53,54.7,55.17,1485892,11.246,11.306,10.94,11.034,7429460,0.0,1.0
2018-04-11 00:00:00+00:00,54.83,56.35,54.26,54.68,2301234,10.966,11.27,10.852,10.936,11506170,0.0,1.0
2018-04-12 00:00:00+00:00,56.09,56.46,55.41,55.41,1384160,11.218,11.292,11.082,11.082,6920800,0.0,1.0
2018-04-13 00:00:00+00:00,55.84,56.47,55.53,56.47,816749,11.168,11.294,11.106,11.294,4083745,0.0,1.0
2018-04-16 00:00:00+00:00,56.76,57.33,56.1,56.45,1161431,11.352,11.466,11.22,11.29,5807155,0.0,1.0
2018-04-17 00:00:00+00:00,57.67,57.79,57.0,57.2,1454786,11.534,11.558,11.4,11.44,7273930,0.0,1.0
2018-04-18 00:00:00+00:00,57.49,57.98,57.38,57.98,844380,11.498,11.596,11.476,11.596,4221900,0.0,1.0
2018-04-19 00:00:00+00:00,57.41,57.55,56.89,57.25,764506,11.482,11.51,11.378,11.45,3822530,0.0,1.0
2018-04-20 00:00:00+00:00,57.15,57.66,56.87,57.28,686201,11.43,11.532,11.374,11.456,3431005,0.0,1.0
2018-04-23 00:00:00+00:00,56.74,57.82,56.68,57.57,1554280,11.348,11.564,11.336,11.514,7771400,0.0,1.0
2018-04-24 00:00:00+00:00,56.07,57.71,55.52,57.5,1349419,11.214,11.542,11.104,11.5,6747095,0.0,1.0
2018-04-25 00:00:00+00:00,54.8,55.98,54.26,55.79,2438044,10.96,11.196,10.852,11.158,12190220,0.0,1.0
2018-04-26 00:00:00+00:00,55.42,55.97,54.98,55.17,1647075,11.084,11.194,10.996,11.034,8235375,0.0,1.0
2018-04-27 00:00:00+00:00,54.93,56.14,54.89,55.67,1500677,10.986,11.228,10.978,11.134,7503385,0.0,1.0
2018-04-30 00:00:00+00:00,55.36,56.28,54.97,55.18,1527529,11.072,11.256,10.994,11.036,7637645,0.0,1.0
2018-05-01 00:00:00+00:00,55.74,55.84,54.94,55.01,1238107,11.148,11.168,10.988,11.002,6190535,0.0,1.0
2018-05-02 00:00:00+00:00,55.94,56.44,55.64,55.92,1347397,11.188,11.288,11.128,11.184,6736985,0.0,1.0
2018-05-03 00:00:00+00:00,56.11,56.49,54.91,55.56,2799052,11.222,11.298,10.982,11.112,13995260,0.0,1.0
2018-05-04 00:00:00+00:00,54.74,56.1,53.4,55.77,3490049,10.948,11.22,10.68,11.154,17450245,0.0,1.0
2018-05-07 00:00:00+00:00,55.69,55.82,54.76,55.2,1603314,11.138,11.164,10.952,11.04,8016570,0.0,1.0
2018-05-08 00:00:00+00:00,56.94,56.97,55.29,55.38,2134346,11.388,11.394,11.058,11.076,10671730,0.0,1.0
2018-05-09 00:00:00+00:00,59.02,59.07,57.05,57.05,2541955,11.804,11.814,11.41,11.41,12709775,0.0,1.0
2018-05-10 00:00:00+00:00,60.16,60.28,58.84,58.91,1464738,12.032,12.056,11.768,11.782,7323690,0.0,1.0
2018-05-11 00:00:00+00:00,60.38,60.57,59.34,60.18,1713479,12.076,12.114,11.868,12.036,8567395,0.0,1.0
2018-05-14 00:00:00+00:00,59.55,60.81,59.16,60.38,1295836,11.91,12.162,11.832,12.076,6479180,0.0,1.0
2018-05-15 00:00:00+00:00,59.29,59.62,58.28,59.23,1280255,11.858,11.924,11.656,11.846,6401275,0.0,1.0
2018-05-16 00:00:00+00:00,58.61,59.49,58.47,59.44,1365005,11.722,11.898,11.694,11.888,6825025,0.0,1.0
2018-05-17 00:00:00+00:00,58.29,58.78,57.76,58.49,1552236,11.658,11.756,11.552,11.698,7761180,0.0,1.0
2018-05-18 00:00:00+00:00,58.52,59.02,58.21,58.32,1512028,11.704,11.804,11.642,11.664,7560140,0.0,1.0
2018-05-21 00:00:00+00:00,59.32,59.69,58.84,59.25,2164740,11.864,11.938,11.768,11.85,10823700,0.0,1.0
2018-05-22 00:00:00+00:00,58.77,59.71,58.73,59.41,1352777,11.754,11.942,11.746,11.882,6763885,0.0,1.0
2018-05-23 00:00:00+00:00,59.17,59.2,58.1,58.23,968400,11.834,11.84,11.62,11.646,4842000,0.0,1.0
2018-05-24 00:00:00+00:00,60.64,60.82,59.28,59.32,2584202,12.128,12.164,11.856,11.864,12921010,0.0,1.0
2018-05-25 00:00:00+00:00,60.37,60.64,59.93,60.47,838884,12.074,12.128,11.986,12.094,4194420,0.0,1.0
2018-05-29 00:00:00+00:00,59.93,60.95,59.81,60.2,1475178,11.986,12.19,11.962,12.04,7375890,0.0,1.0
2018-05-30 00:00:00+00:00,61.18,61.41,60.34,60.35,1312766,12.236,12.282,12.068,12.07,6563830,0.0,1.0
2018-05-31 00:00:00+00:00,61.18,62.13,61.0,61.16,2020931,12.236,12.426,12.2,12.232,10104655,0.0,1.0
2018-06-01 00:00:00+00:00,62.0,62.09,61.52,61.56,1255396,12.4,12.418,12.304,12.312,6276980,0.0,1.0
2018-06-04 00:00:00+00:00,62.47,62.65,61.56,62.48,1135769,12.494,12.53,12.312,12.496,5678845,0.0,1.0
2018-06-05 00:00:00+00:00,63.2,63.27,62.03,62.69,1464656,12.64,12.654,12.406,12.538,7323280,0.0,1.0
2018-06-06 00:00:00+00:00,63.29,63.57,62.75,63.3,1380748,12.658,12.714,12.55,12.66,6903740,0.0,1.0
2018-06-07 00:00:00+00:00,61.5,63.72,60.83,63.39,1745604,12.3,12.744,12.166,12.678,8728020,0.0,1.0
2018-06-08 00:00:00+00:00,62.53,62.67,60.86,61.5,1315050,12.506,12.534,12.172,12.3,6575250,0.0,1.0
2018-06-11 00:00:00+00:00,63.25,63.35,62.54,62.79,908735,12.65,12.67,12.508,12.558,4543675,0.0,1.0
2018-06-12 00:00:00+00:00,64.11,64.15,62.92,63.33,1263400,12.822,12.83,12.584,12.666,6317000,0.0,1.0
2018-06-13 00:00:00+00:00,64.69,65.17,64.16,64.38,1872996,12.938,13.034,12.832,12.876,9364980,0.0,1.0
2018-06-14 00:00:00+00:00,65.74,66.27,65.09,65.09,1678570,13.148,13.254,13.018,13.018,8392850,0.0,1.0
2018-06-15 00:00:00+00:00,65.28,66.0,64.79,65.9,2620459,13.056,13.2,12.958,13.18,13102295,0.0,1.0
2018-06-18 00:00:00+00:00,66.17,66.32,64.73,64.98,2435586,13.234,13.264,12.946,12.996,12177930,0.0,1.0
2018-06-19 00:00:00+00:00,64.32,64.75,62.8,63.2,2693762,12.864,12.95,12.56,12.64,13468810,0.0,1.0
2018-06-20 00:00:00+00:00,65.08,65.55,64.35,64.35,1231486,13.016,13.11,12.87,12.87,6157430,0.0,1.0
2018-06-21 00:00:00+00:00,64.74,65.46,63.98,65.03,1038257,12.948,13.092,12.796,13.006,5191285,0.0,1.0
2018-06-22 00:00:00+00:00,63.93,64.83,63.28,64.83,2304188,12.786,12.966,12.656,12.966,11520940,0.0,1.0
2018-06-25 00:00:00+00:00,62.12,63.55,61.53,63.47,2315228,12.424,12.71,12.306,12.694,11576140,0.0,1.0
2018-06-26 00:00:00+00:00,62.87,63.29,62.17,62.47,1426388,12.574,12.658,12.434,12.494,7131940,0.0,1.0
2018-06-27 00:00:00+00:00,61.8,63.59,61.72,63.23,1423267,12.36,12.718,12.344,12.646,7116335,0.0,1.0
2018-06-28 00:00:00+00:00,62.45,62.64,61.08,61.56,963698,12.49,12.528,12.216,12.312,4818490,0.0,1.0
2018-06-29 00:00:00+00:00,62.43,63.44,62.34,62.82,1869329,12.486,12.688,12.468,12.564,9346645,0.0,1.0
2018-07-02 00:00:00+00:00,63.93,63.97,61.9,62.17,939207,12.786,12.794,12.38,12.434,4696035,0.0,1.0
2018-07-03 00:00:00+00:00,63.59,64.28,63.37,64.12,599681,12.718,12.856,12.674,12.824,2998405,0.0,1.0
2018-07-05 00:00:00+00:00,64.33,64.4,63.3,64.12,1770901,12.866,12.88,12.66,12.824,8854505,0.0,1.0
2018-07-06 00:00:00+00:00,64.97,65.12,64.08,64.36,718809,12.994,13.024,12.816,12.872,3594045,0.0,1.0
2018-07-09 00:00:00+00:00,64.77,65.97,64.41,65.29,1082307,12.954,13.194,12.882,13.058,5411535,0.0,1.0
2018-07-10 00:00:00+00:00,65.41,65.84,65.01,65.11,1000345,13.082,13.168,13.002,13.022,5001725,0.0,1.0
2018-07-11 00:00:00+00:00,65.66,65.83,64.79,65.03,740286,13.132,13.166,12.958,13.006,3701430,0.0,1.0
2018-07-12 00:00:00+00:00,67.23,67.45,65.8,65.95,797868,13.446,13.49,13.16,13.19,3989340,0.0,1.0
2018-07-13 00:00:00+00:00,66.56,67.3,66.23,67.08,976113,13.312,13.46,13.246,13.416,4880565,0.0,1.0
2018-07-16 00:00:00+00:00,66.23,67.02,66.11,66.85,543892,13.246,13.404,13.222,13.37,2719460,0.0,1.0
2018-07-17 00:00:00+00:00,66.94,67.22,65.01,66.0,1203731,13.388,13.444,13.002,13.2,6018655,0.0,1.0
2018-07-18 00:00:00+00:00,66.81,67.2,66.49,67.06,1409185,13.362,13.44,13.298,13.412,7045925,0.0,1.0
2018-07-19 00:00:00+00:00,67.45,68.05,66.84,67.03,1604371,13.49,13.61,13.368,13.406,8021855,0.0,1.0
2018-07-20 00:00:00+00:00,67.98,68.35,66.36,66.36,1015260,13.596,13.67,13.272,13.272,5076300,0.0,1.0
2018-07-23 00:00:00+00:00,68.22,68.31,66.9,67.91,1165743,13.644,13.662,13.38,13.582,5828715,0.0,1.0
2018-07-24 00:00:00+00:00,66.75,68.79,66.15,68.67,1444656,13.35,13.758,13.23,13.734,7223280,0.0,1.0
2018-07-25 00:00:00+00:00,68.43,68.67,66.89,66.89,1177361,13.686,13.734,13.378,13.378,5886805,0.0,1.0
2018-07-26 00:00:00+00:00,68.57,68.83,67.37,68.11,1218103,13.714,13.766,13.474,13.622,6090515,0.0,1.0
2018-07-27 00:00:00+00:00,65.81,68.55,65.03,68.37,1268609,13.162,13.71,13.006,13.674,6343045,0.0,1.0
2018-07-30 00:00:00+00:00,62.78,65.74,62.27,65.58,2396038,12.556,13.148,12.454,13.116,11980190,0.0,1.0
2018-07-31 00:00:00+00:00,62.91,63.74,62.37,63.1,1947541,12.582,12.748,12.474,12.62,9737705,0.0,1.0
2018-08-01 00:00:00+00:00,64.6,64.87,63.09,63.23,2956574,12.92,12.974,12.618,12.646,14782870,0.0,1.0
2018-08-02 00:00:00+00:00,73.76,73.87,70.0,70.5,4123980,14.752,14.774,14.0,14.1,20619900,0.0,1.0
2018-08-03 00:00:00+00:00,73.63,75.64,73.09,73.99,2627514,14.726,15.128,14.618,14.798,13137570,0.0,1.0
2018-08-06 00:00:00+00:00,73.63,74.26,72.82,73.49,1456054,14.726,14.852,14.564,14.698,7280270,0.0,1.0
2018-08-07 00:00:00+00:00,73.06,74.42,72.98,73.6,931763,14.612,14.884,14.596,14.72,4658815,0.0,1.0
2018-08-08 00:00:00+00:00,73.05,73.34,72.15,73.03,1319478,14.61,14.668,14.43,14.606,6597390,0.0,1.0
2018-08-09 00:00:00+00:00,74.55,75.14,73.14,73.35,1722648,14.91,15.028,14.628,14.67,8613240,0.0,1.0
2018-08-10 00:00:00+00:00,75.29,75.78,73.85,74.01,1252851,15.058,15.156,14.77,14.802,6264255,0.0,1.0
2018-08-13 00:00:00+00:00,74.78,75.57,74.24,75.0,1818688,14.956,15.114,14.848,15.0,9093440,0.0,1.0
2018-08-14 00:00:00+00:00,76.35,76.455,74.2,75.29,912365,15.27,15.291,14.84,15.058,4561825,0.0,1.0
2018-08-15 00:00:00+00:00,76.22,76.95,75.19,76.27,1522219,15.244,15.39,15.038,15.254,7611095,0.0,1.0
