date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-02 00:00:00+00:00,29.25,30.08,28.855,29.93,231621,29.25,30.08,28.855,29.93,231621,0.0,1.0
2018-01-03 00:00:00+00:00,29.15,29.42,28.94,29.31,256707,29.15,29.42,28.94,29.31,256707,0.0,1.0
2018-01-04 00:00:00+00:00,29.05,29.49,28.9,29.29,198884,29.05,29.49,28.9,29.29,198884,0.0,1.0
2018-01-05 00:00:00+00:00,29.05,29.135,28.59,29.09,205632,29.05,29.135,28.59,29.09,205632,0.0,1.0
2018-01-08 00:00:00+00:00,28.81,29.09,28.21,29.09,205441,28.81,29.09,28.21,29.09,205441,0.0,1.0
2018-01-09 00:00:00+00:00,28.79,28.92,28.54,28.87,88401,28.79,28.92,28.54,28.87,88401,0.0,1.0
2018-01-10 00:00:00+00:00,28.87,28.99,28.2,28.7,162432,28.87,28.99,28.2,28.7,162432,0.0,1.0
2018-01-11 00:00:00+00:00,29.61,29.86,28.8,28.81,219045,29.61,29.86,28.8,28.81,219045,0.0,1.0
2018-01-12 00:00:00+00:00,29.28,29.95,28.754,29.5,108490,29.28,29.95,28.754,29.5,108490,0.0,1.0
2018-01-16 00:00:00+00:00,29.06,29.87,28.97,29.46,169503,29.06,29.87,28.97,29.46,169503,0.0,1.0
2018-01-17 00:00:00+00:00,29.53,29.59,29.2,29.2,160489,29.53,29.59,29.2,29.2,160489,0.0,1.0
2018-01-18 00:00:00+00:00,29.08,29.6444,28.841,29.47,107970,29.08,29.6444,28.841,29.47,107970,0.0,1.0
2018-01-19 00:00:00+00:00,29.12,29.49,28.61,28.86,224015,29.12,29.49,28.61,28.86,224015,0.0,1.0
2018-01-22 00:00:00+00:00,28.81,29.4,28.34,29.13,131041,28.81,29.4,28.34,29.13,131041,0.0,1.0
2018-01-23 00:00:00+00:00,28.83,29.14,28.58,28.68,87461,28.83,29.14,28.58,28.68,87461,0.0,1.0
2018-01-24 00:00:00+00:00,28.17,29.0,27.56,29.0,277391,28.17,29.0,27.56,29.0,277391,0.0,1.0
