date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-02 00:00:00+00:00,131.73,132.35,130.14,131.0,1282712,131.73,132.35,130.14,131.0,1282712,0.0,1.0
2018-01-03 00:00:00+00:00,132.91,133.25,131.74,132.0,1568172,132.91,133.25,131.74,132.0,1568172,0.0,1.0
2018-01-04 00:00:00+00:00,133.85,135.09,133.78,133.88,1361877,133.85,135.09,133.78,133.88,1361877,0.0,1.0
2018-01-05 00:00:00+00:00,135.01,135.13,133.9,134.95,1177274,135.01,135.13,133.9,134.95,1177274,0.0,1.0
2018-01-08 00:00:00+00:00,135.3,136.09,134.87,135.05,1337234,135.3,136.09,134.87,135.05,1337234,0.0,1.0
2018-01-09 00:00:00+00:00,135.45,136.4,134.62,135.65,1206837,135.45,136.4,134.62,135.65,1206837,0.0,1.0
2018-01-10 00:00:00+00:00,136.23,136.41,134.3625,134.96,1793797,136.23,136.41,134.3625,134.96,1793797,0.0,1.0
2018-01-11 00:00:00+00:00,137.58,137.78,136.24,136.59,1515722,137.58,137.78,136.24,136.59,1515722,0.0,1.0
2018-01-12 00:00:00+00:00,138.19,139.06,137.08,137.64,1193888,138.19,139.06,137.08,137.64,1193888,0.0,1.0
2018-01-16 00:00:00+00:00,139.79,141.66,139.21,141.32,3143115,139.79,141.66,139.21,141.32,3143115,0.0,1.0
2018-01-17 00:00:00+00:00,140.79,140.93,139.0,140.83,1755023,140.79,140.93,139.0,140.83,1755023,0.0,1.0
2018-01-18 00:00:00+00:00,141.13,141.48,140.0,140.75,1266903,141.13,141.48,140.0,140.75,1266903,0.0,1.0
2018-01-19 00:00:00+00:00,142.27,142.52,141.02,141.23,1594352,142.27,142.52,141.02,141.23,1594352,0.0,1.0
2018-01-22 00:00:00+00:00,143.9,144.08,141.755,142.33,1377428,143.9,144.08,141.755,142.33,1377428,0.0,1.0
2018-01-23 00:00:00+00:00,144.43,144.99,143.56,144.59,1367782,144.43,144.99,143.56,144.59,1367782,0.0,1.0
2018-01-24 00:00:00+00:00,145.44,146.67,144.37,144.42,1432494,145.44,146.67,144.37,144.42,1432494,0.0,1.0
2018-01-25 00:00:00+00:00,145.54,146.9,145.42,146.89,1220738,145.54,146.9,145.42,146.89,1220738,0.0,1.0
2018-01-26 00:00:00+00:00,149.74,149.82,146.38,147.16,1472411,149.74,149.82,146.38,147.16,1472411,0.0,1.0
2018-01-29 00:00:00+00:00,147.09,150.85,146.83,149.59,2413893,147.09,150.85,146.83,149.59,2413893,0.0,1.0
2018-01-30 00:00:00+00:00,146.59,147.44,145.63,146.07,2369501,146.59,147.44,145.63,146.07,2369501,0.0,1.0
2018-01-31 00:00:00+00:00,148.87,150.1,147.76,148.68,2807555,148.87,150.1,147.76,148.68,2807555,0.0,1.0
2018-02-01 00:00:00+00:00,152.81,156.545,151.33,151.76,4228869,152.81,156.545,151.33,151.76,4228869,0.0,1.0
2018-02-02 00:00:00+00:00,149.76,151.94,147.33,150.51,2826675,149.76,151.94,147.33,150.51,2826675,0.0,1.0
2018-02-05 00:00:00+00:00,147.39,157.0,145.43,147.29,3779298,147.39,157.0,145.43,147.29,3779298,0.0,1.0
2018-02-06 00:00:00+00:00,149.02,149.379,143.49,144.91,2963097,149.02,149.379,143.49,144.91,2963097,0.0,1.0
2018-02-07 00:00:00+00:00,153.17,154.03,148.07,148.62,2388408,153.17,154.03,148.07,148.62,2388408,0.0,1.0
2018-02-08 00:00:00+00:00,140.1,153.5,140.1,153.0,3730719,140.1,153.5,140.1,153.0,3730719,0.0,1.0
2018-02-09 00:00:00+00:00,145.16,146.765,137.6,142.14,2736725,145.16,146.765,137.6,142.14,2736725,0.0,1.0
2018-02-12 00:00:00+00:00,147.24,148.625,145.235,146.97,1614792,147.24,148.625,145.235,146.97,1614792,0.0,1.0
2018-02-13 00:00:00+00:00,147.55,148.32,145.57,146.04,1431477,147.55,148.32,145.57,146.04,1431477,0.0,1.0
2018-02-14 00:00:00+00:00,147.74,149.0,146.3,147.27,1833825,147.74,149.0,146.3,147.27,1833825,0.0,1.0
2018-02-15 00:00:00+00:00,152.54,152.79,147.8,148.95,1874653,152.54,152.79,147.8,148.95,1874653,0.0,1.0
2018-02-16 00:00:00+00:00,154.03,156.19,151.18,151.93,1896261,154.03,156.19,151.18,151.93,1896261,0.0,1.0
2018-02-20 00:00:00+00:00,156.76,158.13,152.03,152.9,1747328,156.76,158.13,152.03,152.9,1747328,0.0,1.0
2018-02-21 00:00:00+00:00,157.58,160.73,156.31,156.36,1923961,157.58,160.73,156.31,156.36,1923961,0.0,1.0
2018-02-22 00:00:00+00:00,156.05,159.31,155.693,157.78,1169008,156.05,159.31,155.693,157.78,1169008,0.0,1.0
2018-02-23 00:00:00+00:00,160.4,160.63,156.86,156.86,1023579,160.4,160.63,156.86,156.86,1023579,0.0,1.0
2018-02-26 00:00:00+00:00,160.57,162.64,159.66,160.8,1196196,160.57,162.64,159.66,160.8,1196196,0.0,1.0
2018-02-27 00:00:00+00:00,163.34,164.235,160.75,161.27,1994189,163.34,164.235,160.75,161.27,1994189,0.0,1.0
2018-02-28 00:00:00+00:00,161.01,165.68,160.865,163.27,1925866,161.01,165.68,160.865,163.27,1925866,0.0,1.0
2018-03-01 00:00:00+00:00,159.57,164.26,157.875,162.62,2001857,159.57,164.26,157.875,162.62,2001857,0.0,1.0
2018-03-02 00:00:00+00:00,166.67,167.1,157.525,158.65,2189762,166.67,167.1,157.525,158.65,2189762,0.0,1.0
2018-03-05 00:00:00+00:00,168.3,169.1875,163.81,164.76,2047064,168.3,169.1875,163.81,164.76,2047064,0.0,1.0
2018-03-06 00:00:00+00:00,171.07,171.91,168.41,169.4,2734991,171.07,171.91,168.41,169.4,2734991,0.0,1.0
2018-03-07 00:00:00+00:00,173.06,174.19,169.38,169.45,1654484,173.06,174.19,169.38,169.45,1654484,0.0,1.0
