date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-02 00:00:00+00:00,47.06,47.35,45.61,45.94,836758,47.06,47.35,45.61,45.94,836758,0.0,1.0
2018-01-03 00:00:00+00:00,50.4,50.7105,47.32,47.32,2123124,50.4,50.7105,47.32,47.32,2123124,0.0,1.0
2018-01-04 00:00:00+00:00,51.6,52.04,50.63,51.06,2042843,51.6,52.04,50.63,51.06,2042843,0.0,1.0
2018-01-05 00:00:00+00:00,51.87,52.43,51.6,51.62,1112242,51.87,52.43,51.6,51.62,1112242,0.0,1.0
2018-01-08 00:00:00+00:00,51.91,52.6,51.27,51.89,686803,51.91,52.6,51.27,51.89,686803,0.0,1.0
2018-01-09 00:00:00+00:00,52.72,52.85,51.08,52.31,912616,52.72,52.85,51.08,52.31,912616,0.0,1.0
2018-01-10 00:00:00+00:00,51.05,52.47,50.54,52.22,1134861,51.05,52.47,50.54,52.22,1134861,0.0,1.0
2018-01-11 00:00:00+00:00,52.04,52.07,50.66,51.15,463233,52.04,52.07,50.66,51.15,463233,0.0,1.0
2018-01-12 00:00:00+00:00,52.57,52.74,51.32,52.04,592942,52.57,52.74,51.32,52.04,592942,0.0,1.0
2018-01-16 00:00:00+00:00,52.82,55.25,51.77,53.38,1982636,52.82,55.25,51.77,53.38,1982636,0.0,1.0
2018-01-17 00:00:00+00:00,54.87,55.21,53.04,53.31,1736895,54.87,55.21,53.04,53.31,1736895,0.0,1.0
2018-01-18 00:00:00+00:00,55.6,55.91,53.56,55.91,2247241,55.6,55.91,53.56,55.91,2247241,0.0,1.0
2018-01-19 00:00:00+00:00,53.07,55.17,51.55,53.31,3658558,53.07,55.17,51.55,53.31,3658558,0.0,1.0
2018-01-22 00:00:00+00:00,52.26,53.0,50.93,52.6,1631079,52.26,53.0,50.93,52.6,1631079,0.0,1.0
2018-01-23 00:00:00+00:00,53.93,54.06,51.2601,51.92,1261365,53.93,54.06,51.2601,51.92,1261365,0.0,1.0
2018-01-24 00:00:00+00:00,52.77,54.0,52.11,53.93,1125645,52.77,54.0,52.11,53.93,1125645,0.0,1.0
2018-01-25 00:00:00+00:00,53.09,53.42,52.24,52.85,844265,53.09,53.42,52.24,52.85,844265,0.0,1.0
2018-01-26 00:00:00+00:00,53.85,53.93,53.2,53.64,801461,53.85,53.93,53.2,53.64,801461,0.0,1.0
2018-01-29 00:00:00+00:00,54.74,55.05,53.16,53.65,1134354,54.74,55.05,53.16,53.65,1134354,0.0,1.0
2018-01-30 00:00:00+00:00,53.39,54.66,53.101,53.81,791525,53.39,54.66,53.101,53.81,791525,0.0,1.0
2018-01-31 00:00:00+00:00,53.99,54.53,53.36,53.78,606377,53.99,54.53,53.36,53.78,606377,0.0,1.0
2018-02-01 00:00:00+00:00,53.26,54.35,52.43,53.47,687400,53.26,54.35,52.43,53.47,687400,0.0,1.0
2018-02-02 00:00:00+00:00,52.72,53.125,52.24,53.06,914408,52.72,53.125,52.24,53.06,914408,0.0,1.0
2018-02-05 00:00:00+00:00,51.23,53.06,48.78,51.93,1037713,51.23,53.06,48.78,51.93,1037713,0.0,1.0
2018-02-06 00:00:00+00:00,52.02,52.112,49.01,49.79,986308,52.02,52.112,49.01,49.79,986308,0.0,1.0
2018-02-07 00:00:00+00:00,51.79,52.94,51.75,51.78,615499,51.79,52.94,51.75,51.78,615499,0.0,1.0
