date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-02 00:00:00+00:00,103.4,103.6,100.24,102.05,1598095,103.4,103.6,100.24,102.05,1598095,0.0,1.0
2018-01-03 00:00:00+00:00,105.17,105.9,102.02,103.88,1800418,105.17,105.9,102.02,103.88,1800418,0.0,1.0
2018-01-04 00:00:00+00:00,109.25,110.19,107.31,107.54,2766245,109.25,110.19,107.31,107.54,2766245,0.0,1.0
2018-01-05 00:00:00+00:00,109.32,109.94,108.3,109.94,1004292,109.32,109.94,108.3,109.94,1004292,0.0,1.0
2018-01-08 00:00:00+00:00,109.94,110.06,108.107,108.72,1614135,109.94,110.06,108.107,108.72,1614135,0.0,1.0
2018-01-09 00:00:00+00:00,109.7,109.98,108.64,109.95,1202006,109.7,109.98,108.64,109.95,1202006,0.0,1.0
2018-01-10 00:00:00+00:00,114.14,114.48,111.76,111.9,3086708,114.14,114.48,111.76,111.9,3086708,0.0,1.0
2018-01-11 00:00:00+00:00,114.24,114.77,112.55,113.58,1364083,114.24,114.77,112.55,113.58,1364083,0.0,1.0
2018-01-12 00:00:00+00:00,112.9,114.88,112.71,114.3,1168380,112.9,114.88,112.71,114.3,1168380,0.0,1.0
2018-01-16 00:00:00+00:00,110.09,114.4,108.86,112.93,2150229,110.09,114.4,108.86,112.93,2150229,0.0,1.0
2018-01-17 00:00:00+00:00,112.26,113.13,109.74,110.1,1412322,112.26,113.13,109.74,110.1,1412322,0.0,1.0
2018-01-18 00:00:00+00:00,113.28,113.72,111.36,111.61,1177033,113.28,113.72,111.36,111.61,1177033,0.0,1.0
2018-01-19 00:00:00+00:00,114.11,114.11,113.03,113.3,933383,114.11,114.11,113.03,113.3,933383,0.0,1.0
2018-01-22 00:00:00+00:00,115.3,115.32,113.09,114.0,1014563,115.3,115.32,113.09,114.0,1014563,0.0,1.0
2018-01-23 00:00:00+00:00,117.21,117.6,114.8,115.3,1503025,117.21,117.6,114.8,115.3,1503025,0.0,1.0
2018-01-24 00:00:00+00:00,115.87,117.49,114.4413,117.0,1402729,115.87,117.49,114.4413,117.0,1402729,0.0,1.0
2018-01-25 00:00:00+00:00,115.32,117.35,115.14,117.01,878228,115.32,117.35,115.14,117.01,878228,0.0,1.0
2018-01-26 00:00:00+00:00,118.81,118.87,115.3203,115.84,963715,118.81,118.87,115.3203,115.84,963715,0.0,1.0
2018-01-29 00:00:00+00:00,116.52,118.72,116.36,117.76,1061104,116.52,118.72,116.36,117.76,1061104,0.0,1.0
2018-01-30 00:00:00+00:00,120.26,121.73,116.48,118.66,2868041,120.26,121.73,116.48,118.66,2868041,0.0,1.0
2018-01-31 00:00:00+00:00,119.89,121.98,119.162,120.7,1299276,119.89,121.98,119.162,120.7,1299276,0.0,1.0
